Time,Data
0,9.03141442762334e-09
1,3.959792390976873e-09
2,2.991518607193681e-08
3,5.33705731584093e-09
4,2.9104067199476154e-09
5,6.025010351610183e-09
6,1.7848482232288995e-08
7,2.4189566168099152e-08
8,1.1481689991678975e-08
9,1.7611411728069522e-08
10,9.625496197280412e-09
11,6.8182775769153315e-09
12,8.404869452117234e-09
13,2.047115922085803e-08
14,4.45650238927724e-09
15,2.019977324598822e-08
16,1.435052133793482e-08
17,1.4339659056702071e-08
18,9.434079204937432e-09
19,3.6109288293253494e-09
20,8.108482918373934e-09
21,8.016091805708267e-09
22,1.3808185375264515e-08
23,7.663870488804357e-09
24,7.493459107867507e-09
25,1.2688081672123579e-08
26,1.3159255917714436e-08
27,1.2906401985354176e-08
28,5.996501255807728e-09
29,9.308205305876494e-09
30,1.53798904356293e-08
31,8.32035084744319e-09
32,1.5387477266985107e-08
33,3.394292920921222e-09
34,1.2893907577684578e-08
35,1.6757174714856303e-08
36,2.2487123496603033e-08
37,2.876827387688502e-09
38,4.842300391302347e-09
39,6.3785172898192666e-09
40,1.7883637965972202e-08
41,5.415948108846871e-09
42,1.8448251496530765e-08
43,1.273232797199598e-08
44,1.6642937879010038e-08
45,6.643322771725676e-09
46,6.511693815725313e-09
47,3.5639168915244275e-09
48,1.7677878575587024e-08
49,1.7191371831895563e-08
50,1.131704208449107e-08
51,2.008268159597038e-08
52,2.2749695387723965e-08
53,9.090422702284201e-09
54,1.9447688639927743e-08
55,1.0204365727519477e-08
56,8.643612258391096e-09
57,1.3890696539031617e-08
58,1.8194299227204865e-08
59,1.4813232700628316e-08
60,9.261827218704934e-09
61,1.703240602119246e-08
62,3.173977388891689e-09
63,2.8670500377484298e-09
64,1.0483300519202475e-08
65,8.693524053863668e-09
66,9.539203362989396e-09
67,1.833804711766541e-08
68,1.2097434956119204e-08
69,4.536351940046073e-09
70,1.4025003555198488e-08
71,5.471650379839633e-09
72,8.595517892153864e-09
73,1.0920287115060883e-08
74,1.4670655984955678e-08
75,1.366933334313676e-08
76,1.9696179672281045e-08
77,6.977119321576717e-09
78,1.71830114171378e-08
79,1.0646646314609819e-08
80,1.109504623031097e-08
81,9.256761341413181e-09
82,8.726662707402056e-09
83,2.5097932674654985e-09
84,5.343603739755685e-09
85,1.4497114558447954e-08
86,7.142944869340452e-09
87,1.175058401228414e-08
88,6.480401824505528e-09
89,5.973708355964781e-09
90,1.908925645916314e-08
91,1.0765177680787416e-08
92,9.944289114360207e-09
93,1.8256678306747604e-08
94,1.5037287250217165e-08
95,1.3323015370052766e-08
96,9.754363994946371e-09
97,1.2888874881793168e-08
98,1.724630908424662e-08
99,5.904101699773493e-09
100,6.1704265902394395e-09
101,1.0754011560886222e-08
102,1.024719391548539e-08
103,1.1913090909751857e-08
104,2.3426708981001834e-08
105,1.080437560197661e-08
106,1.0284994805544217e-08
107,1.4682199416013468e-08
108,1.9934617457710724e-08
109,8.040023098948606e-09
110,7.112339937342912e-09
111,1.2917148381333895e-08
112,3.5976031449978588e-09
113,1.1825401000850804e-08
114,1.5229968164313947e-08
115,8.641674844166168e-09
116,1.2610111975515362e-08
117,2.254971129327167e-09
118,2.0225664316897294e-08
119,1.6818096297699665e-08
120,2.437530503382625e-08
121,1.6624401059233132e-08
122,1.0912004526703164e-08
123,7.003976141672875e-09
124,1.371950103680863e-08
125,1.3380346356182035e-08
126,1.1561484489203974e-08
127,1.1604206922395772e-08
128,1.1623934423330938e-08
129,9.513163859475897e-09
130,6.7299289344317224e-09
131,1.1985869360555524e-08
132,1.0066608754294517e-08
133,1.1255809174640989e-08
134,1.3075714213350671e-08
135,8.212607752806085e-09
136,1.216202892606639e-08
137,1.513847141789031e-08
138,1.8220221795092114e-08
139,1.4961356901522492e-08
140,1.35883896490781e-08
141,9.994852026947487e-09
142,7.276274026483342e-09
143,1.9196152460247244e-08
144,2.167686901962881e-08
145,7.761302593457927e-09
146,8.865019570146357e-09
147,7.954349095184042e-09
148,7.07249562422736e-09
149,3.1355018226981408e-09
150,1.3495618862052308e-08
151,1.3830557636409077e-08
152,9.152277363106007e-09
153,1.3344903763573198e-08
154,9.368745218577935e-09
155,8.14092686755612e-09
156,1.7406289217975465e-08
157,2.60537652911077e-08
158,1.709884323869091e-08
159,7.153045021025794e-09
160,1.0680273449301491e-08
161,1.4050608324794437e-08
162,5.939508992407479e-09
163,7.2328547970413455e-09
164,1.2415158759011313e-08
165,7.055482408070147e-09
166,7.612205412876608e-09
167,5.448394965557626e-09
168,1.6303189391549365e-08
169,1.6918367786898076e-08
170,1.580492957367948e-08
171,1.257274963328537e-08
172,6.3310798222130705e-09
173,9.506504699287038e-09
174,9.464896556648343e-09
175,4.142683165217582e-09
176,1.2827919201222563e-08
177,6.155358278722369e-09
178,7.773586146336263e-09
179,1.9255706779769547e-08
180,5.6135689956941665e-09
181,5.7246176968945e-09
182,2.1606443290627673e-09
183,1.5937173948329215e-08
184,1.4276335839425489e-08
185,1.9239469370673756e-08
186,5.5046825061823165e-09
187,1.2046231082239268e-08
188,1.3534178456459533e-08
189,6.962089343163844e-09
190,7.801312574033259e-09
191,1.7295227888004394e-08
192,1.5567689577307992e-08
193,1.3676904102229328e-08
194,7.766355559839239e-09
195,1.1848958411174753e-08
196,4.814788245734177e-09
197,2.8072019234457725e-09
198,9.435436866131065e-09
199,7.533784114323177e-09
200,1.1056452377505184e-08
201,1.5201012749873334e-08
202,1.5454644998790144e-08
203,1.4056693416538343e-08
204,4.157805327848657e-09
205,1.4476430785706102e-08
206,7.847267381860558e-09
207,1.7522211799579175e-08
208,6.584148950787587e-09
209,9.084717969060288e-09
210,2.4078040422765947e-09
211,1.2484429177389029e-08
212,2.0224401356477192e-08
213,1.0907460022872594e-08
214,1.312824772664798e-08
215,6.290297446006374e-09
216,7.0886877044822745e-09
217,6.5545904870086975e-09
218,3.9886431119062696e-09
219,9.60522571662784e-09
220,3.3014734125634868e-09
221,9.445806609690552e-09
222,3.5980700213030446e-09
223,6.549967092218888e-09
224,1.5070757405433086e-08
225,1.5652584059674895e-08
226,7.575139130151468e-09
227,1.1883181076127562e-08
228,1.5658459084041492e-08
229,6.0562309649783555e-09
230,1.2057192005231727e-08
231,6.045231991558439e-09
232,9.250129585145117e-09
233,3.735999511791818e-09
234,1.5044812454514018e-08
235,2.409767894380542e-08
236,1.5463090901925185e-08
237,8.924569783786316e-09
238,3.0295851122709623e-09
239,1.0689485429943501e-08
240,1.2555598541601536e-08
241,1.4441766407395904e-08
242,1.5124648565226692e-08
243,1.3793539562682215e-08
244,1.3709616196485634e-08
245,1.3579709596038336e-08
246,1.4068008741832143e-08
247,6.470718100738255e-09
248,1.0675432626575475e-08
249,6.9800339319421744e-09
250,1.0779212300419606e-08
251,1.7293217657916422e-08
252,8.324147416892212e-09
253,1.0749412947901249e-08
254,1.361515838157142e-08
255,1.0936767359661273e-08
256,1.5113858598507763e-08
257,3.433325710781111e-09
258,4.446598209061662e-09
259,1.2640929986559646e-08
260,1.3493903232720741e-08
261,1.3399278677942029e-08
262,3.5013724021584954e-09
263,1.5983002446960667e-08
264,8.084014037922506e-09
265,2.23673955305269e-08
266,7.704744021735151e-09
267,1.986550756962319e-08
268,1.2524432041128967e-08
269,1.8780252751796494e-08
270,6.689666617531372e-09
271,1.5631313320332343e-08
272,2.7425903090252554e-09
273,1.0665566248609222e-08
274,1.6139446502918847e-08
275,1.7623676990864573e-08
276,1.9827946730581147e-09
277,1.2239917378575052e-08
278,1.4248143731789222e-08
279,6.311221291996092e-09
280,1.6139060107601043e-08
281,9.92451341306754e-09
282,8.094821928609049e-09
