Time,Data
0,1.1391467391562903e-08
1,1.2135942054389906e-08
2,8.405859815262701e-09
3,9.350343916442165e-09
4,1.1219184292333813e-08
5,1.2379190482096633e-08
6,6.43986368955316e-09
7,2.031321457085718e-08
8,1.0307581096449416e-08
9,1.355979050309478e-08
10,1.8539022109713655e-08
11,9.582615158032868e-09
12,1.0250644767085725e-08
13,6.753734887338174e-09
14,1.0363677516520343e-08
15,1.1984118872958637e-08
16,1.1352575239763448e-08
17,6.5772704581474305e-09
18,7.213062925595567e-09
19,2.1347685048714538e-08
20,1.2874111947764662e-08
21,5.8960767391149185e-09
22,2.5881878646510874e-08
23,1.0261149708093907e-08
24,1.062985319589729e-08
25,5.567917127725048e-09
26,9.786466943823464e-09
27,9.784900371489717e-09
28,5.953897358149776e-09
29,1.1490102460507031e-08
30,6.412851520549903e-09
31,1.1104264415887643e-08
32,2.237188855716991e-08
33,1.0228412615873596e-08
34,2.4406562762680527e-08
35,6.230407789907806e-09
36,8.017446139585128e-09
37,1.028055838320873e-08
38,5.464990732245921e-09
39,9.48313324839001e-09
40,1.0191607388621198e-08
41,1.0289109365425795e-08
42,1.1101153345602382e-08
43,1.076244044516014e-08
44,1.166726394090393e-08
45,2.3576609827002197e-08
46,1.1423684435826167e-08
47,1.1117605288993213e-08
48,1.1971283516457992e-08
49,8.072630271663886e-09
50,6.507938469502094e-09
51,6.448100696422194e-09
52,1.174932107189649e-08
53,1.755591872773235e-08
54,6.187126968537008e-09
55,1.031279260474037e-08
56,7.917308637700407e-09
57,6.00249991257091e-09
58,1.8111969764547956e-08
59,1.0334902628504247e-08
60,9.684688486111338e-09
61,7.215225183721392e-09
62,8.932045285531631e-09
63,6.7786493019209795e-09
64,1.1148248220299325e-08
65,7.709791207460845e-09
66,7.650335213145634e-09
67,9.61536900604646e-09
68,9.288974452733983e-09
69,1.0299927925418525e-08
70,6.7081502840556705e-09
71,1.1545470898093451e-08
72,1.0113734297320779e-08
73,1.4099378346160497e-08
74,1.0518473890867996e-08
75,1.3217959950465454e-08
76,1.9202704806205345e-08
77,1.0554043629640046e-08
78,1.14613900972368e-08
79,8.569132789483715e-09
80,1.2719272491098093e-08
81,5.568706339516808e-09
82,1.1662757096533415e-08
83,1.1044813678446515e-08
84,2.721162485299528e-08
85,2.3132243208720376e-08
86,9.71832568132687e-09
87,1.2387969207534578e-08
88,8.11974393015847e-09
89,7.183227632580171e-09
90,7.66650380686486e-09
91,5.947378304246861e-09
92,4.664232354556848e-09
93,1.6624781430520614e-08
94,9.911639313621253e-09
95,1.7853945830034304e-08
96,2.717804493293701e-08
97,1.0079065676445281e-08
98,6.8932374371208166e-09
99,5.648057800180758e-09
100,1.207867200969158e-08
101,1.1792610451775882e-08
102,9.427221119161116e-09
103,9.160023888220941e-09
104,6.660716071768034e-09
105,7.714258573332013e-09
106,2.4499970884867105e-08
107,9.277568097192364e-09
108,9.678379417156021e-09
109,7.266355978952867e-09
110,7.260968425866595e-09
111,1.0986886070598498e-08
112,6.08083244735601e-09
113,1.1460747682027777e-08
114,5.8847095185829345e-09
115,1.0830079482083783e-08
116,5.933391057612374e-09
117,5.627626544407143e-09
118,9.14063459951758e-09
119,7.088341436061562e-09
120,9.519207180434353e-09
121,8.31464190212114e-09
122,8.260915743019925e-09
123,6.490940513669437e-09
124,5.2461762109469556e-09
125,6.021635128808026e-09
126,1.0190071100254767e-08
127,8.564152009258712e-09
128,9.834451426831053e-09
129,1.2562003470460121e-08
130,5.505823624218803e-09
131,1.190112647901215e-08
132,1.04603985449938e-08
133,9.037421220723009e-09
134,1.7097115959530326e-08
135,5.724905381943769e-09
136,1.1877227342824724e-08
137,1.1042430255080738e-08
138,9.508845127490588e-09
139,6.150012384378086e-09
140,6.347954634673304e-09
141,1.4424528852930997e-08
142,1.843414672040885e-08
143,1.058163473443661e-08
144,1.3066057490894958e-08
145,6.303334990960108e-09
146,1.7846376929525893e-08
147,2.1830670953048007e-08
148,1.153381244396375e-08
149,2.522193992372469e-08
150,6.367108281171481e-09
151,1.6704149347487756e-08
152,1.2115942589247682e-08
153,2.54285075435116e-08
154,1.0394991835277708e-08
155,8.32626546747272e-09
156,1.2430479910544288e-08
157,2.4819417593583622e-08
158,2.6051841146803783e-08
159,6.466303866318085e-09
160,3.080637027360415e-09
161,1.9055658363678664e-08
162,5.238196571533733e-09
163,9.562601874323485e-09
164,8.764010358637388e-09
165,6.525745388322927e-09
166,1.876456300865416e-08
167,6.5555767346133405e-09
168,6.9764151521923015e-09
169,7.615675132739925e-09
170,1.72319201055857e-08
171,1.7231446854645878e-08
172,7.270481428559279e-09
173,1.1348506109294869e-08
174,1.1445542063440604e-08
175,1.2313879578396651e-08
176,1.9263548045590514e-08
177,6.446752000103456e-09
178,2.7384699437634114e-08
179,1.2589545507974878e-08
180,1.1567888674237568e-08
181,1.2495376778839843e-08
182,6.784833964275686e-09
183,1.090755303811257e-08
184,9.469872673710042e-09
185,1.2266877529421159e-08
186,1.0358260340114274e-08
187,1.3659439960148622e-08
188,7.377408142933545e-09
189,8.287544822734555e-09
190,1.2177201468470792e-08
191,1.4123333084679623e-08
192,1.0223461452797284e-08
193,1.1813916773181045e-08
194,9.225473015757215e-09
195,1.1500385232478712e-08
196,1.0278849636742908e-08
197,1.2330206804562867e-08
198,6.959384282137464e-09
199,1.1963925235104036e-08
200,1.2097627879564806e-08
201,9.287965393131981e-09
202,7.0339103121042496e-09
203,1.062975482101273e-08
204,5.970861747186961e-09
205,5.578588905600933e-09
206,9.751851626136041e-09
207,2.7864160546885114e-08
208,1.0779249492523642e-08
209,1.1939107934281385e-08
210,6.3518407917466666e-09
