Time,Data
0,3.7180010986328025e-09
1,2.304760084090419e-09
2,3.416775058240635e-09
3,9.953394074671417e-09
4,2.530092770299867e-09
5,1.5094550980492707e-09
6,3.650970728132317e-09
7,2.8403985678768324e-09
8,3.37084329272884e-09
9,2.48214642944709e-09
10,2.226396612332657e-09
11,2.933474767715188e-09
12,2.424502077045978e-08
13,2.514672965640609e-09
14,2.243916601943703e-09
15,2.4629017285199165e-09
16,3.236520076650101e-09
17,3.0256102537160063e-09
18,2.3881670488263675e-09
19,4.062252603970975e-09
20,2.5540880672086584e-09
21,1.6605190501345e-09
22,2.329969107788374e-09
23,2.768584542941621e-09
24,2.66378739525781e-09
25,3.188845824687012e-09
26,1.524597946730221e-09
27,1.6659679057777552e-09
28,2.970112241102944e-09
29,2.379207401258486e-09
30,2.9171338661943743e-09
31,3.828801417105003e-09
32,2.526931502590723e-09
33,3.4606003218655144e-09
34,9.501577530883432e-09
35,3.5822264456463016e-09
36,2.018995601170286e-09
37,2.1729300350410014e-09
38,3.1871756342839017e-09
39,3.1820814384718926e-09
40,3.163839618042218e-09
41,2.2353275483765766e-09
42,2.661326231272031e-09
43,2.5388572441680748e-09
44,1.285722672375828e-09
45,3.337220911405035e-09
46,3.472519738310234e-09
47,3.525619279446944e-09
48,3.0653406401918886e-09
49,1.0109917810789151e-08
50,3.2293146436292755e-09
51,1.7562230141923171e-09
52,1.755811455178096e-09
53,2.2793187515165947e-09
54,2.7383321650657625e-09
55,3.1145396856414062e-09
56,3.06170473283038e-09
57,3.16074630561466e-09
58,3.2820242180292322e-09
59,2.982800643399831e-09
60,1.9842564179201905e-09
61,2.45226346312365e-09
62,2.5912117659059556e-09
63,1.6940366065296864e-09
64,3.403139354872434e-09
65,1.3411100549945262e-09
66,1.5030987126827431e-09
67,1.5592654863203736e-09
68,1.3350594733748522e-08
69,2.2747193437247713e-09
70,1.613883497439914e-09
71,2.6576973067105077e-09
72,3.176724380415329e-09
73,3.3536561030671813e-09
74,3.8832059465921195e-09
75,1.4013831824849884e-08
76,3.51850036326955e-09
77,2.6910601154879623e-09
78,2.0649022108951417e-09
79,3.4378932895890757e-09
80,2.4795448773450643e-09
81,1.5828282885412782e-09
82,1.4299893139196751e-09
83,3.189448470291556e-09
84,3.5866962596586014e-09
85,2.315559549356335e-09
86,3.4497268425984297e-09
87,2.0662019388974523e-09
88,2.8774769640249306e-09
89,2.901419845781426e-09
90,2.774149953510376e-09
91,2.199688872830577e-09
92,2.312584501807356e-09
93,2.3837838912247538e-09
94,3.1084415647429262e-09
95,1.9931209828233482e-09
96,2.112069558635078e-09
97,2.1253627189826244e-09
98,3.769116611171946e-09
99,3.764133701875813e-09
100,3.0404550672055827e-09
101,2.038848745411206e-09
102,2.029158175769025e-09
103,2.657909471612447e-09
104,2.320111543630852e-09
105,2.205291685727073e-09
106,2.402970118984487e-09
107,2.595327052312461e-09
108,2.859153617024474e-09
109,3.811041741468135e-09
110,1.7037055793542245e-09
111,2.210296193611403e-09
112,3.2715005323963243e-09
113,2.4262929663208203e-09
114,2.7582279819327526e-09
115,2.930497876298804e-09
116,3.23851108122351e-09
117,3.589554620555467e-09
118,3.1003413737930724e-09
119,2.8858816389999364e-09
120,3.416375753873628e-09
121,2.933525603304223e-09
122,2.315738394474678e-09
123,2.5391469790524593e-09
124,2.1107167122621034e-08
125,2.880528396063013e-09
126,3.547895261242947e-09
127,2.5208834257696324e-09
128,4.048335988836978e-09
129,2.1272614063924253e-09
130,2.4682286317103144e-09
131,2.9947338886099708e-09
132,2.9535902517152632e-09
133,3.5557065054198797e-09
134,1.7755102514612866e-09
135,1.7560824898556075e-09
136,3.0447389253092e-09
137,7.48614691681235e-09
138,2.4656474856594647e-09
139,3.582568982589094e-09
140,1.8051802590476302e-09
141,3.2370437059935457e-09
142,2.5800984694974264e-09
143,1.5371132448367757e-08
144,3.3590125070197433e-09
145,3.890190267331901e-09
146,2.580757614706896e-09
147,4.1595522107000064e-09
148,4.048286340776016e-09
149,3.572421689613636e-09
150,4.225340674416143e-09
151,1.4554863861076487e-08
152,2.650156698236787e-09
153,2.769521574768812e-09
154,2.386470258111485e-09
155,2.2719305171439e-09
156,1.8542972638848667e-09
157,3.233317720221753e-09
158,2.9679992830957398e-09
159,2.9982805050228825e-09
160,1.358426439902583e-09
161,4.2046054173531386e-09
162,3.0872391831706716e-09
163,3.0430579386144985e-09
164,3.663221895945894e-09
165,1.235102471779345e-09
166,3.015039418917388e-09
167,3.021923113223831e-09
168,3.1515459135648222e-09
169,2.3871993343419007e-09
170,1.6827145663589788e-09
171,2.8911474351994276e-09
172,3.929782104339273e-09
173,3.691005731684068e-09
174,3.1618795637399072e-09
175,3.518143463034033e-09
176,1.5930701425207684e-09
177,3.1123408660550726e-09
178,3.0948898865761935e-09
179,3.6270449683895653e-09
180,2.3063906301369836e-09
181,1.0208228595167976e-08
182,3.2492611550341728e-09
183,3.82498877483357e-09
184,1.7859973265592177e-09
185,2.1435039243835924e-09
186,4.016659038359029e-09
187,4.141402312094847e-09
188,1.692533622622181e-08
189,3.2431899040570477e-09
190,1.622148965617045e-09
191,1.7056096621071218e-09
192,2.6188743119313576e-09
193,1.7243849941940577e-09
194,1.219098334538083e-08
195,2.9959876488541433e-09
196,3.5663842802951148e-09
197,2.028664310369789e-09
198,3.3929088267966364e-09
199,1.8815494414722185e-09
200,2.228953124557545e-09
201,1.8929997527996928e-09
202,2.2932418164363443e-09
203,2.145663108323322e-09
204,6.607881678296431e-09
205,1.225439242322044e-08
206,2.6163314961106512e-09
207,3.799377159106771e-09
208,1.5803186586118958e-09
209,2.114511501221999e-09
210,3.1590755885361077e-09
211,5.519261987371441e-09
212,3.28335120385234e-09
213,7.236047048808479e-09
214,2.8399791144747166e-09
215,3.093904523823271e-09
216,2.2729775116489325e-09
217,2.7017987364841078e-09
218,2.1574720297688987e-09
219,2.9020598937130743e-09
220,3.6866317936865695e-09
221,2.9276719104856465e-09
222,3.4644598496962008e-09
223,2.4584872273432085e-09
224,3.3574869232685567e-09
225,2.5260090945974495e-09
226,3.1845769794901275e-09
227,2.243314871954696e-09
228,2.8315970912959084e-09
229,7.962242558051138e-09
230,2.081881187957079e-09
231,3.5882455497859316e-09
232,3.535606960165171e-09
233,2.7263318855851497e-09
234,3.2526266885267964e-09
235,2.9877458840599096e-09
236,1.069947854885755e-08
237,1.6322856744313732e-08
238,8.312935903418882e-09
239,3.721920946567942e-09
240,3.8531511162477984e-09
241,3.664051717424562e-09
242,2.7073058015711276e-09
243,3.1837393810556596e-09
244,2.7020860994015556e-09
245,1.7813619714394314e-09
246,3.9130931277652345e-09
247,3.395735056476901e-09
248,3.714316466609217e-09
249,2.823504539184583e-09
250,2.6065421532997697e-09
251,3.6430263335952863e-09
252,3.814015607149475e-09
253,2.0549656296903575e-09
254,1.938113281468539e-09
255,4.093612291196672e-09
256,1.813082248347849e-09
257,1.2599923919277233e-09
258,2.866050357137601e-09
259,3.49287979309088e-09
260,3.183271066317139e-09
261,3.017185688352243e-09
262,3.476127463839871e-09
263,3.4657699760874705e-09
264,2.897282433354245e-09
265,2.183831694058176e-09
266,3.5156700560144134e-09
267,2.8063874104121106e-09
268,3.076502536322739e-09
269,4.403846448162112e-09
270,2.4421895257201774e-09
271,1.8421033864078885e-09
272,3.03833710755971e-09
273,2.554906043741623e-09
274,3.145131316208727e-09
275,3.762374749415533e-09
276,1.921002215068408e-09
277,2.5469533552355988e-09
278,3.244059236481091e-09
279,2.181829892809712e-09
280,2.724035870439686e-09
281,2.797600021598861e-09
282,2.48706032968704e-09
283,3.2913784328282617e-09
284,3.8220614009871896e-09
285,3.3824367634398184e-09
286,3.2259086813764265e-09
287,2.82609384326062e-09
288,2.2462310548768757e-09
289,1.847751369461777e-09
290,1.1590429021659075e-08
291,3.1597548866118277e-09
292,1.8586206311801713e-09
293,2.583285415822575e-09
294,1.669454782167022e-08
295,2.235381019015864e-09
296,2.9831383144528214e-09
297,2.131531959590286e-09
298,1.7259869627742884e-09
299,2.018989017572897e-09
300,1.6499860078261592e-09
301,3.2713542093617394e-09
302,2.2934250113511577e-09
303,3.748280475509092e-09
304,1.4867357669659258e-08
305,4.484034988831636e-09
306,3.6781883999422127e-09
307,2.29987594975678e-09
308,3.800270986101514e-09
309,1.7255364265659287e-09
310,1.5038230548895866e-09
311,3.281669427012078e-09
312,2.5676419876023397e-09
313,2.514141960938235e-09
314,7.863227444874864e-10
315,4.757418319055349e-09
316,2.846468247893578e-09
317,3.32188169605706e-09
318,1.9615009108233973e-08
319,3.467566728725142e-09
320,2.398018289665791e-09
321,4.4709219940287005e-09
322,3.1795093859841038e-09
323,3.2209850332402783e-09
324,1.8534285870916681e-09
325,2.3554362535811903e-09
326,1.0196031291035825e-08
327,3.490261115979226e-09
328,3.2482927885453785e-09
329,2.1975540538012748e-09
330,1.9355280561088467e-09
331,3.899204038729434e-09
332,3.3419211963464933e-09
333,3.039571640158845e-09
334,2.561285338528098e-09
335,3.0955596973229006e-09
336,3.193487763129142e-09
337,2.9249993740767315e-09
338,3.228740437889099e-09
339,2.108491207278486e-09
340,1.5929854651453907e-09
341,3.1251207969553793e-09
342,1.8911080484762877e-09
343,3.6703076191790266e-09
344,2.133549302329028e-09
345,2.7211269323556043e-09
346,3.718924299873444e-09
347,3.822376557298818e-09
348,2.12081204162732e-09
349,3.087416575949275e-09
350,4.187470909224761e-09
351,3.0722039248942886e-09
352,3.377464125781265e-09
353,2.955430069936694e-09
354,3.3855988205049968e-09
355,1.8382563716180474e-09
356,2.5737602591226173e-09
357,3.012525438844591e-09
358,2.101178832171872e-09
359,2.9485038292813746e-09
360,2.5792191220043078e-09
361,4.06449738543427e-09
362,2.423936106866291e-09
363,3.314574451943329e-09
364,2.6135118521392282e-09
365,3.928369255438274e-09
366,2.458763527498623e-09
367,3.1987542223718677e-09
368,2.5181422716813994e-09
369,2.6777907972944514e-09
370,2.920906997330247e-09
371,2.8905630878031033e-09
372,3.7414854108317716e-09
373,2.6749287456386443e-09
374,3.8611144699915904e-09
375,3.905263707307762e-09
376,3.4396417066671374e-09
377,2.577268946053812e-09
378,3.0554846576505493e-09
379,2.6859707976610887e-09
380,2.9190966819726108e-09
381,1.5031648145454604e-08
382,3.2896160571835256e-09
383,5.366531533902412e-09
384,2.715668994420152e-09
385,3.3832277388090555e-09
386,3.1346388435585203e-09
387,3.0356492898770916e-09
388,3.24892388221784e-09
389,3.721110617289438e-09
390,2.9117465136225754e-09
391,1.6517612916264032e-09
392,3.652934337991335e-09
393,3.2441148147284183e-09
394,1.9783771747486486e-09
395,2.9759870053384587e-09
396,2.0780424674268277e-09
397,2.3968826654385475e-09
398,3.3377839159393403e-09
399,3.008387901544092e-09
400,3.83155337060205e-09
401,1.6565934092949394e-09
402,3.2045404854137017e-09
403,3.150918506604848e-09
404,1.7905250906685899e-09
405,2.282562461753136e-09
406,2.940194766884864e-09
407,7.539873848390787e-09
408,2.421647203074675e-09
409,1.7416937392276632e-09
410,2.1711602816267592e-09
411,4.030764375687876e-09
412,3.059642085042388e-09
413,4.344732943900373e-09
414,3.0306661160859045e-09
415,3.0234149832391477e-09
416,2.565673373786871e-09
417,1.658414259777986e-09
418,1.629975359642718e-09
419,2.3630528498180973e-09
420,2.5699729008100725e-09
421,3.080126326136751e-09
422,3.2578636458427847e-09
423,3.7001140714034303e-09
424,1.8271559762571525e-09
425,3.6913871272650752e-09
426,3.2915952102870036e-09
427,4.014522510839688e-09
428,1.2993402102880117e-08
429,3.2008837714791167e-09
430,2.907424464071528e-09
431,3.542759847836437e-09
432,3.3992017337469975e-09
433,3.0336521001685228e-09
434,2.60658060883069e-09
435,2.2376986324987184e-09
436,3.2714612860979896e-09
437,1.6255613837729822e-09
438,1.6075620142716083e-09
439,2.33596476772072e-09
440,3.0105936981513282e-09
441,1.8199197229627592e-09
442,3.4525246266106867e-09
443,3.487464253544402e-09
444,1.726370993422828e-09
445,2.2347997070495546e-09
446,3.5368636158257486e-09
447,2.907249440126406e-09
448,3.326600157040668e-09
449,2.6497979560439902e-09
450,1.715564553476619e-09
451,2.700751477483294e-09
452,3.823914258366564e-09
453,2.5191089315116965e-09
454,4.142075417341876e-09
455,3.865812121678727e-09
456,1.9668768184526185e-09
457,3.1344136411009255e-09
458,2.7333534719561968e-09
459,3.1054299027888982e-09
460,3.3398515650891854e-09
461,2.7803763517042017e-09
462,3.485641168395873e-09
463,2.6044639660092986e-09
464,2.6888602406116446e-09
465,6.549633030064187e-09
466,2.3970460989104767e-09
467,8.69553392436176e-09
468,3.263399552022674e-09
469,2.4450556549399872e-09
470,3.4143001978268453e-09
471,1.7165474086847269e-09
472,2.8172146646375196e-09
473,2.5232459501555516e-09
474,2.2123680587231565e-09
475,3.123784595062287e-09
476,1.7318885937327611e-09
477,2.7062531468728197e-09
478,2.3676600234753797e-09
479,3.4916345867336303e-09
480,2.6875148188642743e-09
481,3.3536834973251215e-09
482,2.5795341440782208e-09
483,2.8201868090187665e-09
484,1.478562405133522e-08
485,3.4663158652990653e-09
486,2.6258189891797526e-09
487,2.9653690192800264e-09
488,3.028184679986906e-09
489,1.991979308625029e-08
490,2.432641053424961e-09
491,2.9439285219943256e-09
492,3.079337191658588e-09
493,2.780065677664023e-09
494,4.403525898032324e-09
495,2.7213842720575052e-09
496,2.8779036636182674e-09
497,3.578947309254277e-09
498,1.5025436101503668e-09
499,3.255168978923384e-09
500,3.5495007884105164e-09
501,3.246437696597748e-09
502,2.4185856339371483e-09
503,1.8155905859571116e-08
504,3.958884896100528e-09
505,8.261075390728825e-09
506,2.85172218890021e-09
507,2.630595920578895e-09
508,3.197545374797314e-09
509,4.077277318038689e-09
510,2.2829777000986094e-09
511,2.947770275761602e-09
512,4.042524435693131e-09
513,2.87904956820517e-09
514,1.8342718593493262e-09
515,2.8733579893416184e-09
516,3.170808259397245e-09
517,3.855575533631138e-09
518,1.4881142976301665e-09
519,2.570240643578515e-09
520,1.9682980981938087e-09
521,3.597370474076572e-09
522,3.389839355450036e-09
523,1.888557067449302e-09
524,6.4553606234986135e-09
525,1.89415632244514e-09
526,2.7663430472301716e-09
527,2.4429384843733735e-09
528,2.9410908376367175e-09
529,2.3347532869853936e-09
530,2.3065569664072344e-09
531,4.855122241671805e-09
532,6.197888326109613e-09
533,1.571822586489632e-09
534,3.1260303002884163e-09
535,3.1238665100124543e-09
536,2.33672545562443e-09
537,5.114673242890691e-09
538,1.680135665547266e-09
539,3.4512524275572107e-09
540,3.369042331735881e-09
541,3.2501470870400856e-09
542,2.681587111374746e-09
543,2.9194255347058382e-09
544,1.7704451626730926e-09
545,1.973369506960954e-09
546,2.439681604224121e-09
547,2.6694680388210172e-09
548,4.26911509938752e-09
549,2.3850953345033136e-09
550,2.66424939375682e-09
551,2.469925686763584e-09
552,2.8959480747523673e-09
553,3.493523521594528e-09
554,2.205006819896551e-09
555,2.4778981295162102e-09
556,2.2793685323125294e-09
557,3.262287493874642e-09
558,2.2637121988224804e-09
559,2.220791564587041e-09
560,3.438682549908353e-09
561,1.4811767343132336e-09
562,4.699469020827832e-09
563,2.871838201468458e-09
564,2.6792971550569637e-09
565,3.3798902613924075e-09
566,3.5593777065832247e-09
567,3.8567152463133086e-09
568,2.85693714882906e-09
569,2.584818639286314e-09
570,3.09954091574296e-09
571,3.2975942953290303e-09
572,1.7838688310293307e-09
573,1.4055058188501784e-09
574,2.183559081698831e-09
575,2.9293455224789254e-09
576,3.2298632963696297e-09
577,2.088321199157992e-09
578,2.347759339114616e-09
579,2.8989644742822726e-09
580,2.0163229312022623e-09
581,1.1830337333865937e-09
582,4.034224332423985e-09
583,3.500718295818858e-09
584,2.814107785111015e-09
585,2.5391251187668154e-09
586,3.9593771836769955e-09
587,3.0962084407624224e-09
588,1.6592139284226748e-09
589,2.9199125524500268e-09
590,1.5880256005513008e-09
591,2.340240198190412e-09
592,2.437576024199235e-09
593,3.7921383993851595e-09
594,3.1420405077923286e-09
595,3.7181493907242653e-09
596,3.252705707417925e-09
597,3.3331241901170858e-09
598,3.668180436608351e-09
599,2.6561776471420867e-09
600,2.770669713716321e-09
601,3.1620042790494633e-09
602,2.3810996318249165e-09
603,3.4316858556844783e-09
604,3.1773133311024715e-09
605,3.3250429652945034e-09
606,2.4033591531645407e-09
607,1.2047608809898451e-08
608,3.128939498709725e-09
609,4.026348687763251e-09
610,3.6004281003828274e-09
611,2.3299090517689547e-09
612,3.2569968132614804e-09
613,3.6106720605352884e-09
614,2.768877047297337e-09
615,3.0569766613032854e-09
616,3.5658777710672473e-09
617,3.1478899873093094e-09
618,1.5266013300802926e-09
619,2.9241904871756823e-09
620,3.1390554537674742e-09
621,2.268934398114403e-09
622,2.3101301841621335e-09
623,2.142317462760831e-09
624,2.3512245668047427e-09
625,1.2471005173114202e-09
626,4.108330812120616e-09
627,3.789496018250064e-09
628,3.4742019172274173e-09
629,2.74109373617452e-09
630,2.1858050520687427e-09
631,2.2278850576794202e-09
632,2.1072782715093165e-09
633,3.004635966401464e-09
634,3.163933520278081e-09
635,3.1525520836203644e-09
636,1.6773181285019576e-09
637,2.9553000870049946e-09
638,2.8119163360399483e-09
639,3.055246284634287e-09
640,2.9046643466673227e-09
641,1.7057782345239505e-09
642,1.3338950010770952e-09
643,2.661929934642324e-09
644,1.8376269862916863e-09
645,2.467922565885248e-09
646,3.3883840949909188e-09
647,1.6869531221005806e-09
648,2.0683542680286925e-09
649,3.7688368831125625e-09
650,2.4534144995255237e-09
651,2.627856742203281e-09
652,1.7095375454225243e-09
653,1.7707999553910182e-09
654,7.878856792108774e-09
655,2.41455489861339e-09
656,2.5762227394455957e-09
657,1.9479155289683533e-09
658,2.872578604002632e-09
659,2.9761792817308407e-09
660,2.1391119437315143e-09
661,3.7124025038186715e-09
662,2.4750231729611824e-09
663,1.8012779330396775e-09
664,2.58614364700719e-09
665,2.566183170966756e-09
666,1.7001683179865106e-09
667,2.326998008448366e-09
668,1.2765920507790165e-08
669,2.7208300869273646e-09
670,2.623279069470427e-09
671,2.6891638018878737e-09
672,1.900313182762029e-09
673,3.348341447315393e-09
674,1.3764701523079001e-08
675,2.605962683269551e-09
676,2.057953848883725e-09
677,2.278606132966142e-09
